date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
8/30/22,91,84,95,98,88,97,89,100,28230,32280,4050,6900,13530,7800,26,87,660,16380,2022-08-29T22:25:52-04:00,2022-08-30T07:23:52-04:00,66.98,61,26,1.35,1.58,13.875,66,54,95,25,71,72,148,2170,3369,2513,42300,34620,9180,300,0,0,1.28125,1,36,100,None,81,None,1,1,None,100
8/31/22,80,75,95,86,90,68,67,100,25920,29340,3420,6990,13890,5040,14,88,210,14640,2022-08-30T22:09:49-04:00,2022-08-31T06:18:49-04:00,67.66,58,21,1.8,1.65,15.5,59,36,60,25,71,63,125,2193,2958,1917,52500,25200,8580,120,0,0,1.28125,3,29,84,79,97,90,1,4,1,21
9/1/22,76,70,48,100,86,62,86,100,24540,28680,4140,3510,11130,9900,31,86,630,14460,2022-08-31T22:46:34-04:00,2022-09-01T06:44:34-04:00,51.53,47,62,-0.07,1.03,13.375,77,51,100,43,96,96,631,2738,11321,11347,44880,23520,14340,1980,1680,0,1.625,0,72,74,79,87,82,100,99,1,88
9/2/22,75,70,70,97,83,72,81,71,24480,28680,4200,5070,12450,6960,22,85,480,14910,2022-09-01T23:47:51-04:00,2022-09-02T07:45:51-04:00,58.57,52,40,-0.13,0.36,13.375,79,67,100,43,96,90,141,2190,3134,2178,37260,26700,11340,0,0,11100,1.28125,0,64,72,79,71,85,100,56,1,88
9/3/22,75,72,63,95,83,73,78,70,25020,29520,4500,4590,14550,5880,29,85,420,14730,2022-09-02T23:52:32-04:00,2022-09-03T08:04:32-04:00,52.42,47,54,-0.35,-0.12,13.625,88,90,100,60,100,98,926,3028,17223,16820,26400,31560,22020,5100,1320,0,1.78125,0,74,72,79,100,81,93,100,1,100
9/4/22,78,69,77,96,96,65,67,100,24270,26760,2490,5580,12690,6000,31,91,180,13140,2022-09-03T22:40:27-04:00,2022-09-04T06:06:27-04:00,54.6,49,48,-0.11,-0.13,13,90,76,100,78,100,98,529,2610,11778,10193,32640,30360,20280,3120,0,0,1.53125,0,70,80,78,86,89,100,83,1,82
9/5/22,81,73,86,93,81,69,89,100,25230,29880,4650,6210,13560,5460,29,84,1140,14880,2022-09-04T22:07:57-04:00,2022-09-05T06:25:57-04:00,52.32,46,61,-0.45,-0.22,13.625,91,77,100,78,100,100,1103,3239,19710,20222,32220,24540,22380,5520,1740,0,1.90625,0,77,88,78,96,92,90,100,16,77
9/6/22,64,42,40,92,79,71,72,100,17430,21120,3690,2910,9120,5400,31,83,330,11130,2022-09-05T23:38:31-04:00,2022-09-06T05:30:31-04:00,57.38,50,45,-0.27,-0.24,13.375,93,65,100,95,100,100,434,2535,9485,8116,30600,6480,12000,3840,0,33480,1.53125,0,60,45,69,71,98,96,74,20,52
9/12/22,75,65,46,100,96,78,67,100,23370,25800,2430,3390,10500,9480,26,91,180,12480,2022-09-11T21:52:56-04:00,2022-09-12T05:02:56-04:00,52.13,46,65,-0.01,-0.04,13.25,89,70,95,78,100,97,488,2553,11384,9170,36000,24540,19800,3720,0,2340,1.53125,1,84,73,None,82,None,100,100,None,76
9/13/22,71,58,34,100,86,70,78,100,21480,25020,3540,2520,9480,9480,29,86,450,13170,2022-09-12T21:58:29-04:00,2022-09-13T04:55:29-04:00,48.96,46,65,-0.26,-0.06,12.5,92,55,100,95,100,99,725,2842,13893,13343,41880,21900,17820,3360,1440,0,1.6875,0,87,63,None,93,None,96,100,None,99
